File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\core\item\JNBlockInitializer.java,26,20,18,0,6,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\core\item\JNItemInitializer.java,25,19,16,0,6,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\ClientProxy.java,50,41,34,0,9,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\CommonProxy.java,61,46,41,0,14,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\SaiyanCraft.java,57,46,34,0,11,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\block\BlockTest.java,33,24,21,0,8,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\CapabilityHandler.java,67,51,39,7,14,0,2,13,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\DefaultSaiyanBattler.java,18,10,7,0,7,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\ISaiyanBattler.java,19,9,7,1,7,0,3,7,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\SaiyanBattlerProvider.java,37,28,18,3,9,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\DefaultSaiyanData.java,157,128,97,16,24,0,5,28,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\ISaiyanData.java,50,40,33,9,10,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SaiyanDataMessageHandler.java,50,40,32,2,10,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SaiyanDataProvider.java,37,28,18,3,9,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SyncSaiyanDataMessage.java,46,32,25,0,14,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SyncSaiyanDataToClientMessage.java,44,32,25,0,12,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\crafting\RecipeDifficultyRater.java,18,12,9,2,6,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\damagesources\SaiyanDamageSource.java,22,15,11,1,6,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\eventhandlers\EventHandler.java,29,24,21,0,5,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\gui\SaiyanPlayerStatusGui.java,160,138,114,15,20,0,2,11,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\init\ModBlocks.java,42,34,28,1,7,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\init\ModItems.java,44,34,28,1,9,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\input\KeyBindings.java,19,13,11,0,6,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\build\sources\main\java\com\jaynopp\saiyancraft\input\KeyInputHandler.java,24,18,12,3,6,0,0,0,0,0
