Word,Count
+,47
\"\\,30
=,17
},11
if,9
Meta,7
for,7
/,5
on,5
float,4
recipes,4
null);,4
DefaultSaiyanData,4
Auto-generated,4
\"\,\,4
TODO,4
\System.out.println("\SaiyanData\,3
new,3
-,3
catch,3
crafting,3
else,3
\player.getCapability(SaiyanDataProvider.POWERLEVEL_CAP,\,3
(DefaultSaiyanData),3
cap,3
is,3
all,3
\+"\\,3
:,3
{,3
cap.GetPowerLevel());,3
of,3
((tps,2
,2
<,2
!=,2
\0,\,2
event.setCanceled(true);,2
only,2
Server:,2
*,2
the,2
DefaultSaiyanData.UpdateStats(sender);,2
repairAmount,2
bonus);,2
attack,2
constructor,2
now,2
block,2
i,2
return,2
null){,2
Add,2
have,2
cooldown,2
>,2
1f,2
\System.out.println("\we\,2
data,2
hit,2
DefaultSaiyanData.UpdateStats(player);,2
0){,2
client,2
splayer,2
here,2
int,2
stub,2
40),2
material){,1
vanilla,1
\System.out.println("\Player\,1
\ItemStack(ModItems.cornSeed),\,1
search,1
element,1
\System.out.println("\Adding\,1
ISaiyanBattler.carriers.size(),1
5,1
items.getObject((ResourceLocation),1
\"\):\,1
(targetLiving.hurtResistantTime,1
ItemValue,1
(IOException,1
tps,1
item.getUnlocalizedName(),1
\(float)Math.pow(curr-1d,\,1
1d);,1
\item("\\,1
\null),\,1
health,1
.0025d);,1
\Math.pow(curr,\,1
\Math.pow(.2d,\,1
combomanager,1
tps:,1
4,1
increased,1
GetRepairAmount(material);,1
(repaired.getMaxDamage(),1
SaiyanPlayerStatusGui());,1
\System.out.println("\Looking\,1
\-"\\,1
e.printStackTrace();,1
\System.out.println("\Repair:\,1
targetLiving,1
curr,1
left,1
we,1
get,1
3,1
instanceof,1
List<IRecipe>,1
\ItemStack(ModItems.ingotCopper),\,1
carrier,1
6,1
\System.out.println("\recipe\,1
(health,1
\1f,\,1
\SaiyanPlayer."\);\,1
splayer.SetupComboManager();,1
clicking,1
repaired.getItemDamage()),1
Blocks,1
Minecraft.getMinecraft().displayGuiScreen(new,1
\sender.getCapability(SaiyanBattlerProvider.BATTLER_CAP,\,1
recipe,1
move.cooldownTime,1
data.GetStrength();,1
\GetPowerLevel(),\,1
data.SetStrength(curr,1
try,1
\32,\,1
as,1
target).maxHurtResistantTime,1
1).getUnlocalizedName());,1
rand.nextFloat(),1
2,1
ISaiyanBattler,1
current,1
when,1
SaiyanPlayer,1
stack.getItem().getUnlocalizedName());,1
(Entity,1
items.getKeys().toArray()[10]);,1
value);,1
repairAmount);,1
System.out.println(player.getName(),1
rand,1
&&,1
\"\:\,1
e),1
player.getName(),1
1d),1
0.925d);,1
shaped,1
Minecraft.getMinecraft().player.getEntityAttribute(SharedMonsterAttributes.MOVEMENT_SPEED).setBaseValue(20d,1
current:,1
(tps-40),1
.5d/(data.GetAgility()));,1
abort,1
//DefaultSaiyanData.UpdateStats(player);,1
event.getTarget().attackEntityFrom(new,1
(splayer,1
results.size());,1
damage,1
\nothing."\);\,1
\SaiyanData,\,1
System.in.read();,1
\1d,\,1
charging,1
(entityHit,1
//,1
ItemStack(ModItems.corn));,1
stacks[i].getItem().getUnlocalizedName(),1
recipeItems:,1
\"\"\));\,1
==,1
\System.out.println("\Lowest\,1
.2f);,1
key);,1
32);,1
1.0f);,1
cm.getRecipeList();,1
((EntityLivingBase),1
\event.player.moveEntityWithHeading(0f,\,1
facing)),1
Item,1
(float)repaired.getMaxDamage();,1
acceleration,1
null).UpdateFrom(message.sd);,1
no,1
GetRepairAmount(ItemStack,1
<=,1
Random();,1
EntityLivingBase){,1
bonus,1
SEARCH:,1
entityHit.getName());,1
currentItemSearchStack.get(currentItemSearchStack.size(),1
System.out.println(ISaiyanData.carriers.size(),1
.9f,1
1,1
\GameRegistry.addSmelting(ModBlocks.oreCopper,\,1
result,1
\System.out.println("\Added\,1
SaiyanPlayer.local.setChargingHeavy(true);,1
private,1
recipe:,1
smelting,1
null),1
Math.pow(1d,1
(vitality,1
\System.out.println("\Already\,1
simulate,1
Minecraft.getMinecraft().renderEngine.bindTexture(plTexture);,1
centerY,1
attacking,1
event.setDistance(8f);,1
Random,1
\System.out.println("\Trying\,1
_recipe.recipeItems);,1
disabling,1
rmb,1
drawTexturedModalRect(centerX,1
carriers){,1
damage);,1
\System.out.println("\Server\,1
lmb,1
stacksvalue,1
player.getName());,1
input,1
\livingEntity.knockBack(user.player,\,1
0,1
true;,1
Items,1
in,1
material.getItem().getUnlocalizedName(),1
GameRegistry.getFuelValue(material));,1
\player.getCapability(SaiyanBattlerProvider.BATTLER_CAP,\,1
battler.GetCooldown());,1
by,1
\16,\,1
to,1
circular,1
.1f));,1
players.size());,1
item.getUnlocalizedName());,1
16;,1
\SaiyanBattlers"\);\,1
targetLiving.hurtResistantTime,1
(40-tps),1
count,1
possible,1
(1d,1
SaiyanPlayer.Get((EntityPlayer)player);,1
\System.out.println("\getting\,1
repaired.setRepairCost(0);,1
\targetLiving.playSound(ModSounds.PUNCH_LIGHT,\,1
\(carrier.hasCapability(SaiyanDataProvider,\,1
\move.knockBack,\,1
DAMAGE,1
BlockTest.Initialize();,1
minimum,1
(WorldJoin):,1
\System.out.println("\CIRCULAR\,1
inner,1
used,1
DefaultSaiyanData.Get(player);,1
\nbt.setInteger("\lastDurability"\,\,1
\4,\,1
Strength,1
target;,1
(splayer.comboManager,1
GameRegistry.addShapelessRecipe(new,1
EntityLivingBase,1
Server,1
TileEntityFurnace.getItemBurnTime(material);,1
data.UpdateFrom(message.sd);,1
.25d),1
\event.getEntityPlayer(),\,1
lowest,1
forward);,1
from,1
stack,1
(float),1
\SaiyanDamageSource("\saiyandamage.entity"\,\,1
(SaiyanPlayer.isPlayerEntityUsingFists()){,1
first,1
\System.out.println("\Fuel\,1
(target,1
shapeless,1
\"\"\)\,1
(EntityLivingBase),1
