File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\core\item\JNBlockInitializer.java,26,20,18,0,6,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\core\item\JNItemInitializer.java,25,19,16,0,6,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\ClientProxy.java,50,39,31,0,11,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\CommonProxy.java,62,45,40,0,16,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\SaiyanCraft.java,67,56,44,0,11,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\block\BlockTest.java,124,104,71,15,19,7,1,18,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\CapabilityHandler.java,89,72,55,9,13,0,4,20,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\DefaultSaiyanBattler.java,160,130,89,31,30,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\ISaiyanBattler.java,50,39,33,5,11,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\SaiyanBattlerMessageHandler.java,60,47,37,4,11,0,2,2,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\SaiyanBattlerProvider.java,38,28,18,3,10,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler\SyncSaiyanBattlerMessage.java,53,36,27,2,17,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\DefaultSaiyanData.java,153,125,94,16,23,0,5,28,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\ISaiyanData.java,60,45,37,9,12,0,3,9,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SaiyanDataMessageHandler.java,56,44,35,3,12,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SaiyanDataProvider.java,37,28,18,3,9,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SyncSaiyanDataMessage.java,46,32,25,0,14,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata\SyncSaiyanDataToClientMessage.java,44,32,25,0,12,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\crafting\ModRecipes.java,23,10,8,0,8,0,5,16,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\crafting\RecipeDifficultyRater.java,17,11,8,2,6,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\damagesources\SaiyanDamageSource.java,22,15,11,1,6,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\eventhandlers\EventHandler.java,22,18,15,0,4,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\gui\SaiyanPlayerStatusGui.java,173,150,125,16,21,0,2,11,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\init\ModBlocks.java,37,28,22,1,7,0,2,5,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\init\ModItems.java,41,31,25,1,9,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\init\ModMoves.java,17,13,11,0,4,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\init\ModSounds.java,23,15,12,1,8,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\input\KeyBindings.java,57,40,30,2,14,2,3,6,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\input\KeyInputHandler.java,49,34,22,7,15,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\input\StatedKeyBinding.java,27,20,17,0,7,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\item\DragonBall.java,40,28,22,2,11,0,1,2,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\item\ItemEventHandler.java,16,12,8,1,4,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\item\ItemValueManager.java,295,240,193,36,41,3,14,107,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\item\tool\SaiyanPickaxe.java,190,139,102,18,37,0,14,47,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\lib\Names.java,19,12,8,0,7,0,0,0,0,0
