Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,54,3691,2831,2170,320,757,16,103,510,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src,54,3691,2831,2170,320,757,16,103,510,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main,54,3691,2831,2170,320,757,16,103,510,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java,54,3691,2831,2170,320,757,16,103,510,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com,54,3691,2831,2170,320,757,16,103,510,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp,54,3691,2831,2170,320,757,16,103,510,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\core,2,51,39,34,0,12,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\core\item,2,51,39,34,0,12,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft,52,3640,2792,2136,320,745,16,103,510,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\block,1,124,104,71,15,19,7,1,18,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities,12,846,658,493,85,174,0,14,59,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyanbattler,5,361,280,204,45,79,0,2,2,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\capabilities\saiyandata,6,396,306,234,31,82,0,8,37,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\crafting,2,40,21,16,2,14,0,5,16,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\damagesources,1,22,15,11,1,6,0,1,4,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\eventhandlers,1,22,18,15,0,4,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\gui,1,173,150,125,16,21,0,2,11,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\init,4,118,87,70,3,28,0,3,9,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\input,3,133,94,69,9,36,2,3,6,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\item,4,541,419,325,57,93,3,29,156,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\item\tool,1,190,139,102,18,37,0,14,47,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\lib,1,19,12,8,0,7,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player,15,1245,938,706,124,265,4,42,190,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\gui,2,77,59,47,5,18,0,0,0,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves,6,542,394,305,44,112,1,36,153,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\player\moves\combos,2,211,176,131,26,35,1,0,5,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\server,1,50,34,28,2,14,0,2,37,0,0
D:\JaynoppMC\trunk\SaiyanCraft\src\main\java\com\jaynopp\saiyancraft\storage,3,128,102,84,6,26,0,0,0,0,0
